ISSN,Título,Área de Avaliação,Estrato
1415-8132,CADERNOS LITERÁRIOS,HISTÓRIA                                          ,C
2236-9996,CADERNOS METRÓPOLE,HISTÓRIA                                          ,A1
1517-2422,CADERNOS METRÓPOLE (PUCSP),HISTÓRIA                                          ,A1
2358-2448,CADERNOS NAUI,HISTÓRIA                                          ,A4
1413-7755,CADERNOS NIETZSCHE,HISTÓRIA                                          ,A1
2316-8242,CADERNOS NIETZSCHE,HISTÓRIA                                          ,A1
1809-4449,CADERNOS PAGU,HISTÓRIA                                          ,A1
0104-8333,CADERNOS PAGU (UNICAMP. IMPRESSO),HISTÓRIA                                          ,A1
2965-7849,CADERNOS PARA O PROFESSOR (ONLINE),HISTÓRIA                                          ,B1
2675-0392,CADERNOS PROARQ,HISTÓRIA                                          ,A3
1676-6288,CADERNOS PROLAM/USP,HISTÓRIA                                          ,B1
1982-1816,CADERNOS UNIFOA (ONLINE),HISTÓRIA                                          ,B3
2175-1293,CADERNOS WALTER BENJAMIN,HISTÓRIA                                          ,A4
2236-4099,CADERNOS ZIGMUNT BAUMAN,HISTÓRIA                                          ,B2
1777-5175,CAHIERS ALHIM,HISTÓRIA                                          ,A1
1952-8094,CAHIERS CRITIQUES DE PHILOSOPHIE,HISTÓRIA                                          ,B3
1760-5776,CAHIERS D ETUDES DU RELIGIEUX (ONLINE),HISTÓRIA                                          ,B2
0395-9317,CAHIERS DE LA MÉDITERRANÉE (PRINT),HISTÓRIA                                          ,A4
2268-4247,CAHIERS DES AMÉRIQUES LATINES (ONLINE),HISTÓRIA                                          ,A3
2102-5916,CAHIERS D’HISTOIRE. REVUE D’HISTOIRE CRITIQUE (ONLINE),HISTÓRIA                                          ,A2
2313-9242,CAIANA,HISTÓRIA                                          ,A2
2237-7719,"CAIRU EM REVISTA - SOCIEDADE, EDUCAÇÃO, GESTÃO E SUSTENTABILIDADE",HISTÓRIA                                          ,B3
2764-1473,CALIANDRA - REVISTA DE HISTÓRIA DA ANPUH GO,HISTÓRIA                                          ,B4
2238-3824,CALIGRAMA: REVISTA DE ESTUDOS ROMÂNICOS,HISTÓRIA                                          ,A4
2447-875X,CALÍOPE - PRESENÇA CLÁSSICA,HISTÓRIA                                          ,B1
2027-5528,CAMBIOS Y PERMANENCIAS (ONLINE),HISTÓRIA                                          ,B4
0959-7743,CAMBRIDGE ARCHAEOLOGICAL JOURNAL,HISTÓRIA                                          ,A2
2175-4217,CAMINE: CAMINHOS DA EDUCAÇÃO,HISTÓRIA                                          ,B1
2176-3828,CAMINHANDO,HISTÓRIA                                          ,A2
2359-0599,CAMINHO ABERTO: REVISTA DE EXTENSÃO DO IFSC,HISTÓRIA                                          ,A3
2675-1496,CAMINHOS DA EDUCAÇÃO,HISTÓRIA                                          ,B1
1517-3771,CAMINHOS DA HISTÓRIA (UNIMONTES),HISTÓRIA                                          ,A2
2317-0875,CAMINHOS DA HISTÓRIA (UNIMONTES) (ONLINE),HISTÓRIA                                          ,A2
1678-6343,CAMINHOS DE GEOGRAFIA (UFU),HISTÓRIA                                          ,A1
2965-5099,CAMINHOS DO PAMPA: REVISTA DO INSTITUTO HISTÓRICO E  GEOGRÁFICO DE ALEGRETE (ONLINE),HISTÓRIA                                          ,B3
1983-778X,CAMINHOS (GOIÂNIA. ONLINE),HISTÓRIA                                          ,A1
1678-3034,CAMINHOS (UCG. IMPRESSO),HISTÓRIA                                          ,A1
1809-6271,CAMPO - TERRITÓRIO,HISTÓRIA                                          ,A2
2526-3943,CAMPO DA HISTÓRIA,HISTÓRIA                                          ,C
2317-6830,CAMPOS - REVISTA DE ANTROPOLOGIA,HISTÓRIA                                          ,A3
2596-1314,CAMPOS NEUTRAIS,HISTÓRIA                                          ,A2
1519-5538,CAMPOS (UFPR),HISTÓRIA                                          ,A3
0826-3663,CANADIAN JOURNAL OF LATIN AMERICAN AND CARIBBEAN STUDIES,HISTÓRIA                                          ,B2
2965-5129,CANGAÇO EM REVISTA (ONLINE),HISTÓRIA                                          ,B3
2594-8148,CANOA DO TEMPO,HISTÓRIA                                          ,A3
1982-0755,CANOA DO TEMPO (UFAM),HISTÓRIA                                          ,A3
1677-7794,CANTAREIRA (UFF),HISTÓRIA                                          ,B2
2595-7341,CAPIM DOURADO,HISTÓRIA                                          ,B2
2576-0483,CAPITALISM'S PAST: AN INQUIRY INTO THE POSSIBILITY OF PRE-MODERN CAPITALISM,HISTÓRIA                                          ,B4
2359-2354,CAPOEIRA - REVISTA DE HUMANIDADES E LETRAS,HISTÓRIA                                          ,A3
1984-6096,CAPTURA CRÍPTICA (ONLINE),HISTÓRIA                                          ,A4
2317-9651,CARACOL,HISTÓRIA                                          ,A3
1147-6753,CARAVELLE (TOULOUSE),HISTÓRIA                                          ,A2
2788-4074,CARNIVAL – INTERNATIONAL STUDENTS OF HISTORY ASSOCIATION JOURNAL (ONLINE),HISTÓRIA                                          ,B4
2526-9038,CARTA INTERNACIONAL,HISTÓRIA                                          ,A2
2316-9311,CARTEMA - REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES VISUAIS UFPE/UFPB,HISTÓRIA                                          ,A4
2763-8693,CARTEMA (ONLINE),HISTÓRIA                                          ,A4
0317-7173,CARTOGRAPHICA,HISTÓRIA                                          ,A2
1523-0406,CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE (PRINT),HISTÓRIA                                          ,A1
0008-7157,CASA DE LAS AMÉRICAS,HISTÓRIA                                          ,A2
2318-3713,CEBRI ARTIGOS,HISTÓRIA                                          ,B2
2764-7889,CEBRI-REVISTA,HISTÓRIA                                          ,A3
2764-7897,CEBRI-REVISTA (ONLINE),HISTÓRIA                                          ,A3
2763-8111,CEDEPEM: REVISTA DO CENTRO DE ESTUDOS ESTRATÉGICOS E PLANEJAMENTO ESPACIAL MARINHO,HISTÓRIA                                          ,B4
2182-1097,"CEM CULTURA, ESPAÇO & MEMÓRIA",HISTÓRIA                                          ,A1
2595-4881,CENAS EDUCACIONAIS,HISTÓRIA                                          ,A3
2965-1867,CENTÚRIAS - REVISTA ELETRÔNICA DE HISTÓRIA (ONLINE),HISTÓRIA                                          ,B2
1473-4230,CEREBELLUM (ONLINE),HISTÓRIA                                          ,A2
0145-8973,CHASQUI: REVISTA DE LITERATURA LATINOAMERICANA,HISTÓRIA                                          ,A4
1390-1079,CHASQUI. REVISTA LATINOAMERICANA COMUNICACIÓN,HISTÓRIA                                          ,A1
2096-7071,CHINA CDC WEEKLY,HISTÓRIA                                          ,A3
1988-8503,CIAN-REVISTA DE HISTORIA DE LAS UNIVERSIDADES (ONLINE),HISTÓRIA                                          ,A3
1809-2888,CIBERTEOLOGIA: REVISTA DE TEOLOGIA E CULTURA,HISTÓRIA                                          ,B4
2594-6412,CIDADANIA EM AÇÃO: REVISTA DE EXTENSÃO E CULTURA,HISTÓRIA                                          ,B1
1678-4561,CIÊNCIA & SAÚDE COLETIVA,HISTÓRIA                                          ,A1
0304-2685,CIÊNCIA & TROPICO,HISTÓRIA                                          ,B1
1984-7513,"CIÊNCIA, CUIDADO E SAÚDE (ONLINE)",HISTÓRIA                                          ,B1
2358-0763,CIÊNCIA DA INFORMAÇÃO EM REVISTA,HISTÓRIA                                          ,A3
2317-6660,CIÊNCIA E CULTURA,HISTÓRIA                                          ,A1
0009-6725,CIÊNCIA E CULTURA,HISTÓRIA                                          ,A1
1413-8123,CIÊNCIA E SAÚDE COLETIVA (IMPRESSO),HISTÓRIA                                          ,A1
0103-9954,CIÊNCIA FLORESTAL (UFSM. IMPRESSO),HISTÓRIA                                          ,B1
1413-7461,CIÊNCIA GEOGRÁFICA,HISTÓRIA                                          ,B1
2966-0106,CIÊNCIA NA PRÁTICA (ONLINE),HISTÓRIA                                          ,C
2539-2662,CIENCIA NUEVA - REVISTA DE HISTORIA Y POLITICA,HISTÓRIA                                          ,A4
2389-7481,CIENCIA POLÍTICA,HISTÓRIA                                          ,A3
1982-3037,CIÊNCIAS SOCIAIS APLICADAS EM REVISTA (ONLINE),HISTÓRIA                                          ,B3
1519-7050,CIÊNCIAS SOCIAIS UNISINOS,HISTÓRIA                                          ,A3
2177-6229,CIÊNCIAS SOCIAIS UNISINOS,HISTÓRIA                                          ,A3
1982-2650,CIENCIAS SOCIALES Y RELIGIÓN / CIÊNCIAS SOCIAIS E RELIGIÃO,HISTÓRIA                                          ,A3
2183-7902,CINEMA & TERRITÓRIO,HISTÓRIA                                          ,B2
2425-1356,CINÉMAS D’AMÉRIQUE LATINE,HISTÓRIA                                          ,B1
2594-9810,CIRANDA,HISTÓRIA                                          ,A4
1751-1925,CITIZENSHIP TEACHING AND LEARNING (ONLINE),HISTÓRIA                                          ,A4
2195-2701,"CITY, TERRITORY AND ARCHITECTURE",HISTÓRIA                                          ,A2
2316-8374,CIVILISTICA.COM,HISTÓRIA                                          ,A1
1984-7289,CIVITAS - REVISTA DE CIÊNCIAS SOCIAIS (ONLINE),HISTÓRIA                                          ,A1
1666-1842,CLAROSCURO (ROSARIO),HISTÓRIA                                          ,B3
2176-6436,CLASSICA - REVISTA BRASILEIRA DE ESTUDOS CLÁSSICOS,HISTÓRIA                                          ,A4
2313-5115,CLASSICA BOLIVIANA (PRINT),HISTÓRIA                                          ,B1
2393-2961,CLASSICA ET CHRISTIANA,HISTÓRIA                                          ,A4
0103-4316,CLASSICA (SAO PAULO),HISTÓRIA                                          ,A4
0009-840X,CLASSICAL REVIEW,HISTÓRIA                                          ,B3
2327-2996,CLASSICS@ JOURNAL,HISTÓRIA                                          ,B4
2393-6584,CLAVES. REVISTA DE HISTORIA,HISTÓRIA                                          ,A4
2362-2075,CLEPSIDRA,HISTÓRIA                                          ,A1
2359-4705,"CLIMACOM CULTURA CIENTÍFICA - PESQUISA, JORNALISMO E ARTE",HISTÓRIA                                          ,A4
1523-0899,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,HISTÓRIA                                          ,A1
2362-3063,CLIO & ASOCIADOS,HISTÓRIA                                          ,A1
0328-820X,CLIO & ASOCIADOS. LA HISTORIA ENSEÑADA,HISTÓRIA                                          ,A1
2448-2331,CLIO ARQUEOLOGICA,HISTÓRIA                                          ,B1
0102-6003,CLIO ARQUEOLÓGICA,HISTÓRIA                                          ,B1
0102-4736,CLIO (RECIFE),HISTÓRIA                                          ,A1
2525-5649,CLIO: REVISTA DE PESQUISA HISTÓRICA,HISTÓRIA                                          ,A1
2105-0929,CLIO THEMIS,HISTÓRIA                                          ,A3
2695-4494,CLIOCANARIAS,HISTÓRIA                                          ,B2
2704-8799,CLOSE ENCOUNTERS IN WAR JOURNAL (ONLINE),HISTÓRIA                                          ,B4
2176-1779,CODEX: REVISTA DE ESTUDOS CLÁSSICOS,HISTÓRIA                                          ,B1
2965-1778,CÓDIGO31 (ONLINE),HISTÓRIA                                          ,B2
2236-3009,COGNITIO JURIS,HISTÓRIA                                          ,B4
2447-2654,COISAS DO GÊNERO: REVISTA DE ESTUDOS FEMINISTAS EM GÊNERO E RELIGIÃO,HISTÓRIA                                          ,A2
2316-4891,COLEÇÃO MEIRA MATTOS - REVISTA DAS CIÊNCIAS MILITARES (ONLINE),HISTÓRIA                                          ,B1
3085-6655,"COLIRIUM, REVISTA DE ESTUDOS REPRESENTACIONAIS E REPRESONTOLOGIA (ONLINE)",HISTÓRIA                                          ,B4
1809-8207,COLLOQUIUM HUMANARUM,HISTÓRIA                                          ,A3
1466-1802,COLONIAL LATIN AMERICAN REVIEW,HISTÓRIA                                          ,A2
1060-9164,COLONIAL LATIN AMERICAN REVIEW,HISTÓRIA                                          ,A2
2318-180X,COLÓQUIO - REVISTA DO DESENVOLVIMENTO REGIONAL,HISTÓRIA                                          ,A3
2604-9821,COMPARATIVE CINEMA (ONLINE),HISTÓRIA                                          ,B1
0010-4086,COMPARATIVE EDUCATION REVIEW,HISTÓRIA                                          ,A3
1556-5068,COMPARATIVE LAW EJOURNAL,HISTÓRIA                                          ,A1
0000-0002,COMPARATIVE LITERATURE AND TRANSCULTURAL STUDIES,HISTÓRIA                                          ,A1
0010-4175,COMPARATIVE STUDIES IN SOCIETY AND HISTORY (PRINT),HISTÓRIA                                          ,A1
0098-3004,COMPUTERS & GEOSCIENCES,HISTÓRIA                                          ,A1
0097-8493,COMPUTERS & GRAPHICS,HISTÓRIA                                          ,A2
2357-8963,COMSERTÕES - REVISTA DE COMUNICAÇÃO E CULTURA NO SEMIÁRIDO,HISTÓRIA                                          ,B1
2316-9125,COMUNICAÇÃO & EDUCAÇÃO,HISTÓRIA                                          ,A2
2317-675X,COMUNICAÇÃO & INFORMAÇÃO,HISTÓRIA                                          ,A3
2178-0145,COMUNICAÇÃO & INOVAÇÃO,HISTÓRIA                                          ,A2
2763-7158,COMUNICAÇÃO E MEMÓRIA,HISTÓRIA                                          ,B4
1414-7327,CONCILIUM (BRASIL),HISTÓRIA                                          ,A2
0588-9804,CONCILIUM (DEUTSCHE AUSG.),HISTÓRIA                                          ,A2
1125-7164,CONCILIUM (ED. ITALIANA),HISTÓRIA                                          ,A2
0010-5236,CONCILIUM ENGLISH EDITION,HISTÓRIA                                          ,A2
0210-1041,CONCILIUM (ESTELLA),HISTÓRIA                                          ,A2
1981-9897,CONCINNITAS (ONLINE) (RIO DE JANEIRO),HISTÓRIA                                          ,A1
2764-0345,CONECTADAS REVISTA INTERDISCIPLINAR DE EXTENSÃO E CULTURA DA UFABC,HISTÓRIA                                          ,B4
2594-8962,CONEXÃO LETRAS,HISTÓRIA                                          ,B2
1870-3569,CONFINES DE RELACIONES INTERNACIONALES Y CIENCIA POLÍTICA (IMPRESA),HISTÓRIA                                          ,B2
1958-9212,CONFINS (PARIS),HISTÓRIA                                          ,A1
2316-395X,CONFLUÊNCIAS CULTURAIS,HISTÓRIA                                          ,B2
2036-0967,CONFLUENZE (BOLOGNA),HISTÓRIA                                          ,A1
2237-8049,CONHECIMENTO & DIVERSIDADE,HISTÓRIA                                          ,A3
1809-3442,CONHECIMENTO INTERATIVO,HISTÓRIA                                          ,B3
2178-4612,CONJECTURA: FILOSOFIA E EDUCACAO,HISTÓRIA                                          ,A2
0103-1457,CONJECTURA: FILOSOFIA E EDUCAÇÃO (UCB),HISTÓRIA                                          ,A2
1657-5830,CONJECTURAS,HISTÓRIA                                          ,C
2178-8839,CONJUNTURA AUSTRAL,HISTÓRIA                                          ,A2
2317-6563,CONJUNTURA GLOBAL,HISTÓRIA                                          ,B1
1980-7341,CONNECTION LINE,HISTÓRIA                                          ,B2
2673-7159,CONSERVATION,HISTÓRIA                                          ,C
2675-2107,CONTEMPORÂNEA,HISTÓRIA                                          ,B4
2447-0961,CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,HISTÓRIA                                          ,C
1688-9746,CONTEMPORÁNEA (MONTEVIDEO. EN LÍNEA),HISTÓRIA                                          ,A1
2316-1329,CONTEMPORÂNEA (ONLINE),HISTÓRIA                                          ,A2
1932-3231,CONTEMPORÂNEOS. REVISTA DE ARTES E HUMANIDADES,HISTÓRIA                                          ,C
1982-3231,CONTEMPORÂNEOS: REVISTA DE ARTES E HUMANIDADES (ONLINE),HISTÓRIA                                          ,B2
1356-9775,CONTEMPORARY POLITICS (LONDON. PRINT),HISTÓRIA                                          ,A2
2179-1309,CONTEXTO & EDUCAÇÃO,HISTÓRIA                                          ,A1
1982-0240,CONTEXTO INTERNACIONAL (ON-LINE),HISTÓRIA                                          ,A1
2358-9566,CONTEXTO (UFES),HISTÓRIA                                          ,A3
2238-4200,CONTEXTOS DA ALIMENTAÇÃO,HISTÓRIA                                          ,B3
2007-2120,CONTEXTUALIZACIONES LATINOAMERICANAS,HISTÓRIA                                          ,A4
2236-6822,CONTRAPONTO,HISTÓRIA                                          ,A4
2358-3541,CONTRAPONTO (UFRGS),HISTÓRIA                                          ,B2
1984-7114,CONTRAPONTOS (ONLINE),HISTÓRIA                                          ,A2
2452-5545,CONTRAPULSO: REVISTA LATINOAMERICANA DE ESTUDIOS EN MÚSICA POPULAR,HISTÓRIA                                          ,A2
1696-8360,CONTRIBUCIONES A LA ECONOMÍA,HISTÓRIA                                          ,B2
1988-7833,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,HISTÓRIA                                          ,C
1807-9326,CONTRIBUTIONS TO THE HISTORY OF CONCEPTS (RIO DE JANEIRO),HISTÓRIA                                          ,A2
1808-5253,CONTROVÉRSIA (UNISINOS),HISTÓRIA                                          ,B1
2965-2758,CONVERGÊNCIAS: ESTUDOS EM HUMANIDADES DIGITAIS (CONEHD),HISTÓRIA                                          ,B2
1646-9054,CONVERGENCIAS: REVISTA DE INVESITIGACAO E ENSINO DAS ARTES,HISTÓRIA                                          ,A2
2178-5694,CONVERSAS & CONTROVÉRSIAS,HISTÓRIA                                          ,B3
2596-0083,CONVERSAS E PESQUISAS,HISTÓRIA                                          ,C
2183-6973,CONVOCARTE,HISTÓRIA                                          ,B3
2358-9809,COSMOS E CONTEXTO,HISTÓRIA                                          ,B4
1679-0650,COSMOS (PRESIDENTE PRUDENTE),HISTÓRIA                                          ,B4
2317-2452,CRIAR EDUCAÇÃO REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO UNESC,HISTÓRIA                                          ,A3
2108-6907,CRIMINOCORPUS,HISTÓRIA                                          ,B1
2678-1190,CRISOL-CENTRE DE RECHERCHES IBÉRIQUES ET IBÉRO-AMÉRICAINES DE L'UNIVERSITÉ PARIS NANTE,HISTÓRIA                                          ,B1
2605-3276,CRÍTICA  URBANA,HISTÓRIA                                          ,B1
1980-6493,CRÍTICA CULTURAL,HISTÓRIA                                          ,B2
2447-4223,CRÍTICA EDUCATIVA,HISTÓRIA                                          ,B2
2764-2666,CRÍTICA HISTORIOGRÁFICA,HISTÓRIA                                          ,B3
0104-9321,CRITICA MARXISTA (SÃO PAULO),HISTÓRIA                                          ,B3
2014-3753,CRÍTICA PENAL Y PODER,HISTÓRIA                                          ,A1
2326-411X,CRITICAL INTERVENTIONS (ONLINE),HISTÓRIA                                          ,B1
1981-2140,CSONLINE - REVISTA ELETRÔNICA DE CIÊNCIAS SOCIAIS,HISTÓRIA                                          ,B1
2675-9764,CTS EM FOCO,HISTÓRIA                                          ,B3
1989-4155,CUADERNOS DE EDUCACIÓN Y DESARROLLO,HISTÓRIA                                          ,C
0719-1243,CUADERNOS DE HISTORIA,HISTÓRIA                                          ,A2
1514-5816,CUADERNOS DE HISTORIA. SERIE ECONOMÍA Y SOCIEDAD,HISTÓRIA                                          ,B2
0326-5102,CUADERNOS DE LITERATURA (PRINT),HISTÓRIA                                          ,B1
1668-0227,CUADERNOS DEL CENTRO DE ESTUDIOS DE DISEÑO Y COMUNICACIÓN,HISTÓRIA                                          ,A1
1666-8804,CUADERNOS DEL SUR,HISTÓRIA                                          ,B4
2362-2997,CUADERNOS DEL SUR. HISTORIA (EN LÍNEA),HISTÓRIA                                          ,A3
2007-1248,CUADERNOS FRONTERIZOS,HISTÓRIA                                          ,B1
2658-5219,CUADERNOS IBEROAMERICANOS,HISTÓRIA                                          ,A4
2340-7867,CUCO (CUADERNOS DE CÓMIC),HISTÓRIA                                          ,B2
2389-9980,CUESTIONES TEOLOGICAS,HISTÓRIA                                          ,A3
2730-5732,CULTURA & PSYCHÉ,HISTÓRIA                                          ,B1
0921-3740,CULTURAL DYNAMICS,HISTÓRIA                                          ,A3
1461-7048,CULTURAL DYNAMICS (ONLINE),HISTÓRIA                                          ,A3
2253-797X,CULTURE & HISTORY DIGITAL JOURNAL,HISTÓRIA                                          ,A1
0011-3069,"CURATOR (NEW YORK, N.Y.)",HISTÓRIA                                          ,A2
0011-3204,CURRENT ANTHROPOLOGY,HISTÓRIA                                          ,A1
2764-1759,CURRENT SCIENTIFIC JOURNAL,HISTÓRIA                                          ,B4
1645-1384,CURRÍCULO SEM FRONTEIRAS,HISTÓRIA                                          ,A1
1678-4588,DADOS - REVISTA DE CIÊNCIAS SOCIAIS,HISTÓRIA                                          ,A1
2703-8327,DANCE ARTICULATED,HISTÓRIA                                          ,B4
1808-3129,DAPESQUISA,HISTÓRIA                                          ,A1
1983-8379,DARANDINA REVISTELETRÔNICA,HISTÓRIA                                          ,A4
2674-5968,DAS AMAZÔNIAS,HISTÓRIA                                          ,B1
2447-7087,DAS QUESTÕES,HISTÓRIA                                          ,A1
2526-1789,DATJOURNAL DESIGN ART AND TECHNOLOGY,HISTÓRIA                                          ,A1
2236-2711,DAVAR POLISSÊMICA: REVISTA DE TEOLOGIA E ESTUDOS AFINS,HISTÓRIA                                          ,A4
2255-5889,DE MEDIO AEVO,HISTÓRIA                                          ,A3
2250-4923,DE REBUS ANTIQUIS - PROYECTO DE ESTUDIOS GRECO-ROMANOS DE LA PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA.,HISTÓRIA                                          ,A3
1647-6336,DEBATER A EUROPA,HISTÓRIA                                          ,A4
2359-1056,DEBATES - CADERNOS DO PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA,HISTÓRIA                                          ,A2
1982-8136,DEBATES DO NER,HISTÓRIA                                          ,A2
2175-6600,DEBATES EM EDUCAÇÃO,HISTÓRIA                                          ,A3
2179-6955,DEBATES EM EDUCAÇÃO CIENTÍFICA E TECNOLÓGICA,HISTÓRIA                                          ,A4
1988-5245,DELOS: DESARROLLO LOCAL SOSTENIBLE,HISTÓRIA                                          ,B2
2238-913X,"DEMETRA: ALIMENTAÇÃO, NUTRIÇÃO & SAÚDE",HISTÓRIA                                          ,B3
2317-949X,DESAFIO ONLINE,HISTÓRIA                                          ,A4
2359-3652,DESAFIOS: REVISTA INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DO TOCANTINS,HISTÓRIA                                          ,A4
2545-7284,DESCENTRADA - REVISTA INTERDISCIPLINARIA DE FEMINISMOS Y GÉNERO,HISTÓRIA                                          ,A3
2236-5400,DESENREDO,HISTÓRIA                                          ,A3
2176-9109,DESENVOLVIMENTO E MEIO AMBIENTE,HISTÓRIA                                          ,A3
1518-952X,DESENVOLVIMENTO E MEIO AMBIENTE (UFPR),HISTÓRIA                                          ,A3
2237-9029,DESENVOLVIMENTO REGIONAL EM DEBATE,HISTÓRIA                                          ,A3
2446-5496,DESENVOLVIMENTO SOCIOECONÔMICO EM DEBATE,HISTÓRIA                                          ,B1
1982-3894,DESIGUALDADE & DIVERSIDADE (PUCRJ),HISTÓRIA                                          ,B3
2763-518X,(DES)TROÇOS,HISTÓRIA                                          ,B2
2526-849X,DEVIR EDUCAÇÃO,HISTÓRIA                                          ,A3
2764-9938,D'GENERUS,HISTÓRIA                                          ,B2
2038-0925,DIACRONIE. STUDI DI STORIA CONTEMPORANEA,HISTÓRIA                                          ,A3
1980-2552,DIADORIM (RIO DE JANEIRO),HISTÓRIA                                          ,A2
0304-4092,DIALECTICAL ANTHROPOLOGY,HISTÓRIA                                          ,A2
1983-9294,DIALOGIA,HISTÓRIA                                          ,A3
1677-1303,DIALOGIA (UNINOVE. IMPRESSO),HISTÓRIA                                          ,A3
0719-2681,DIÁLOGO ANDINO,HISTÓRIA                                          ,A1
2179-121X,DIA-LOGOS,HISTÓRIA                                          ,B1
2520-5927,DIÁLOGOS,HISTÓRIA                                          ,B2
2764-0795,DIÁLOGOS E DIVERSIDADE,HISTÓRIA                                          ,B1
2675-682X,DIÁLOGOS E PERSPECTIVAS INTERVENTIVAS,HISTÓRIA                                          ,B3
2596-2353,DIÁLOGOS INTERNACIONAIS,HISTÓRIA                                          ,B2
1600-0110,DIÁLOGOS LATINOAMERICANOS,HISTÓRIA                                          ,B1
2177-2940,DIÁLOGOS (MARINGA),HISTÓRIA                                          ,A1
1415-9945,DIÁLOGOS (MARINGÁ. IMPRESSO),HISTÓRIA                                          ,A1
2177-9856,DIÁLOGOS PERTINENTES,HISTÓRIA                                          ,B4
1414-9109,DIA-LOGOS (RIO DE JANEIRO),HISTÓRIA                                          ,B1
2718-644X,DICCIONARIO BIOGRÁFICO DE LAS IZQUIERDAS LATINOAMERICANAS,HISTÓRIA                                          ,B3
2704-8217,DIDATTICA DELLA STORIA,HISTÓRIA                                          ,A4
2183-2188,DIFFRACTIONS,HISTÓRIA                                          ,A2
2212-0548,DIGITAL APPLICATIONS IN ARCHAEOLOGY AND CULTURAL HERITAGE (ONLINE),HISTÓRIA                                          ,A1
1918-3666,DIGITAL STUDIES / LE CHAMP NUMÉRIQUE (ONLINE),HISTÓRIA                                          ,B1
2182-844X,"DIGITAR - REVISTA DIGITAL DE ARQUEOLOGIA, ARQUITECTURA E ARTES",HISTÓRIA                                          ,A4
2178-2792,DILEMAS,HISTÓRIA                                          ,A2
1983-5922,DILEMAS: REVISTA DE ESTUDOS DE CONFLITO E CONTROLE SOCIAL,HISTÓRIA                                          ,A2
2316-4034,DI@LOGUS,HISTÓRIA                                          ,B2
3085-6248,DIMENSÕES DOCENTES (ONLINE),HISTÓRIA                                          ,B3
2179-8869,DIMENSÕES: REVISTA DE HISTÓRIA DA UFES,HISTÓRIA                                          ,A1
1517-2120,DIMENSÕES: REVISTA DE HISTÓRIA DA UFES,HISTÓRIA                                          ,A1
0145-2096,DIPLOMATIC HISTORY,HISTÓRIA                                          ,B1
2317-7721,DIREITO DA CIDADE,HISTÓRIA                                          ,A2
2178-2466,DIREITO E JUSTIÇA: REFLEXÕES SOCIOJURÍDICAS,HISTÓRIA                                          ,A3
1980-7805,DIREITOS CULTURAIS,HISTÓRIA                                          ,A3
2447-0023,"DIREITOS, TRABALHO E POLÍTICA SOCIAL",HISTÓRIA                                          ,B1
2357-8009,DIREITO.UNB,HISTÓRIA                                          ,A2
2318-9908,DIREITO.UNB,HISTÓRIA                                          ,A2
2318-678X,DISCIPLINARUM SCIENTIA,HISTÓRIA                                          ,A4
2318-8863,DISCURSO,HISTÓRIA                                          ,A1
1887-4606,DISCURSO & SOCIEDAD,HISTÓRIA                                          ,A2
1413-9448,DISSERTATIO (UFPEL),HISTÓRIA                                          ,A2
2594-5025,DISSONÂNCIA: REVISTA DE TEORIA CRÍTICA,HISTÓRIA                                          ,A4
1983-8921,DIVERS@! (MATINHOS),HISTÓRIA                                          ,B3
1984-5073,DIVERSITATES,HISTÓRIA                                          ,B4
2965-3436,DIVULGA-CI (ONLINE),HISTÓRIA                                          ,C
2753-8702,"DIY, ALTERNATIVE CULTURES & SOCIETY (ONLINE)",HISTÓRIA                                          ,B2
2358-0003,DOBRA[S] – REVISTA DA ASSOCIAÇÃO BRASILEIRA DE ESTUDOS DE PESQUISAS EM MODA,HISTÓRIA                                          ,A1
1982-0313,DOBRA[S]: REVISTA DA ASSOCIAÇÃO BRASILEIRA DE ESTUDOS DE PESQUISAS EM MODA,HISTÓRIA                                          ,A1
1646-477X,DOC ON-LINE: REVISTA DIGITAL DE CINEMA DOCUMENTARIO,HISTÓRIA                                          ,A3
2237-9126,DOMÍNIOS DA IMAGEM,HISTÓRIA                                          ,A3
1982-2766,DOMÍNIOS DA IMAGEM (UEL),HISTÓRIA                                          ,A3
1980-5799,DOMÍNIOS DE LINGU@GEM,HISTÓRIA                                          ,A2
2182-5580,DOS ALGARVES,HISTÓRIA                                          ,B2
2594-8385,DOXA,HISTÓRIA                                          ,A4
2594-7796,DRAMATURGIA EM FOCO,HISTÓRIA                                          ,B2
2525-9105,DRAMATURGIAS. REVISTA DO LABORATÓRIO DE DRAMATURGIA (LADI-UNB),HISTÓRIA                                          ,A1
0104-0405,DYNAMIS (BLUMENAU),HISTÓRIA                                          ,A4
2177-8310,EAD EM FOCO - REVISTA DE EDUCAÇÃO A DISTÂNCIA,HISTÓRIA                                          ,A1
1983-9278,ECCOS REVISTA CIENTÍFICA (ONLINE),HISTÓRIA                                          ,A1
